Name,Comment,Date
EDZ,"Hi GrecaleNYCThe Modena is also a great car and has just as much luxury and tech, I'm sure you would not be disappointed with that either.What I do hear from a lot of GTS Macan owners is ""Look at the price difference so expensive"" . Believe me I have done a comparison with regards to price before ordering the Grecale Trofeo against the Macan GTS.To spec a Macan GTS anywhere near to the Grecale Trefeo and that included taking some prices of extras from the Cayenne as some items you just can not even spec on a Macan, it came out at 103k in the UK and still did not have everything that the Grecale comes with especially tech wise. Then you have to remember the Grecale price quoted comes with 3 year services, includes on the road (VED) and 3 year connectivity, road map navigation updates etc in the UK, which would add another 5k to the Macan price in the UK, as Porsche don't include these in their price, this takes the Macan GTS to around 108k. Next you have to look at the engine and power difference, if Porsche still did the Turbo Macan and could give it 530bhp the uplift (extra) in starting basic price going by the difference between Macan, T, S and GTS would be another 12k aprox, so this would make the Macan in the region of 120k which is actually far more than the top spec Trofeo with every extra added.The next thing they throw at you is depreciation !! Depreciation figures are normally calculated on basic standard MRP of cars, and no matter what Porsche you buy one has to spend at least another 10k to even get basic luxuries that most other manufactures include, So if you were to buy A Macan spec as near to a Trefeo as poss aprox cost 120K the depreciation figure would also be the same as the Trefeo at least, IMO.When looking at a genuine price comparisons like for like the Grecale is easily on par with the Porsche Macan, but the Grecale is in my opinion worth a little extra for the better luxury you get and more of a rare car than the mass marketed Macan.","May 1, 2023"
John,"Interesting and helpful thank you. I am looking at Grecale at this time to replace my 3 yr old Macan S, and as you have mentioned the new Macan a bit behind other makers.","May 21, 2023"
edit,"hello EDZ,please don't forget to take 3 pictures with the car in normal position, aero 1 and parking position.side view, please.regards","May 23, 2023"
EDZ,Hi edit.Only got back to UK early hours of yesterday but hopefully the following pics give you an idea.,"May 23, 2023"
John,I didn’t think a few millimetres would be that much different in looks but it shows quite a bit. 🤙,"May 23, 2023"
edit,"so, picture 1 is normal position, then aero one, then parking, then offroad one?a little bit difficult for me to spot the difference between picture 2 and 3.@John, I ordered the air suspension only because the looks in aero one setting, as this is the way I will drive it always.btw,@EDZ, for instance, if you select aero 1, then you stop the car, the next day the journey will start in aero 1, or will reverse to normal position?So, my car that entered production on 17th of April is delayed for delivery until further notice))","May 23, 2023"
EDZ,"edit said:so, picture 1 is normal position, then aero one, then parking, then offroad one?a little bit difficult for me to spot the difference between picture 2 and 3.@John, I ordered the air suspension only because the looks in aero one setting, as this is the way I will drive it always.btw,@EDZ, for instance, if you select aero 1, then you stop the car, the next day the journey will start in aero 1, or will reverse to normal position?So, my car that entered production on 17th of April is delayed for delivery until further notice))Click to expand...For lowest parking height you have to set in the Hud for it to activate, so it's switchable to your own liking. I believe everything reverts back to normal when you switch off and return later or next day.Obviously not possible to show lowest Aero 2 as this is self activating at speed, but I'm led to believe its the same as the lowest parking setting.","May 23, 2023"
John,Sounds like adjustability of suspension better than Macan as well.,"May 24, 2023"
WarrenB,"It has a setting that allows you to set the car to lower itself to its lowest height (aero 2) when the car is in park and on level ground. Mine doesn’t always work however. Like a lot in this car, there are a lot of quirks and defects that is going to take them a while to sort out so it’s going to mean a lot of trips to the dealer for most people. My dealer told me that some people did around 20 trips to the dealer when they released the Ghibli.It’s a great design and I love the interior, but it’s a quirky drive and the tech is a little dated or lacking compared to its competitors releases this year. The HUD is average at best, no self no parking, no parking reverse from phone app, no virtual reality navigation, no draggable 360 surround view or zoom function, camera quality is awful, reverse camera parking lines and sensor beeping is as bad as it is in our 2017 Ghibli where it beeps like crazy even though you are a mile from the curb. The only thing the Grecale has new as far as tech that our 2017 Ghibli doesn’t have is the 360 camera view. It’s same old in a much nicer UI with a better quality screen. There is a lot of good quality like the leather but some awful quality like the glossy buttons on the doors and steering wheel And what’s with the backlit buttons that are extremely dim and off when the car is off. I’m tired of having to remind valet’s where the start button is because it doesn’t show when the car is off!Many say the Success of the Grecale is going to be the difference between death or survival for Maserati as they expect 80% of their sales to come from it, but is it good enough at the price point to take sales away from Porsche, BMW and Mercedes? I’ve had so many issues with mine that it’s currently going through the repurchase process.","May 25, 2023"
Gibberish,"Sid's review of the Grecale Trofeo, quite interesting, I certainly haven't seen reviews of the Macan being driven this way but that's Sid's styleInteresting that he also thinks the power has been massively underrated, something that VAG cars have been doing for some time now.An interesting alternative to the Macan that's for sure..","December 27, 2022"
ghostwalker,"£95,000 base price for the V6 is a bit cheeky, though. I mean the X3M is 90 list, and they’ve sorted out the ride quality on that, and new, unregistered ones on Autotrader etc are selling for low 70s, which is about right.Also, from a design standpoint, I did initially submit an expression of interest before it became apparent that it looks somewhat like a Ford Puma, and this has been noted among enthusiasts as well. I will probably look to sample the driving experience at some point, though.But yes, a confusing car on the face of it, and £20k+ above what it should be. They may sell a few of the cheaper 4 cyl models, but even they are £60k. I don’t see this having anywhere near as many takers as the Macan or quicker X3 models, or even the Stelvio QV for that matter.","December 27, 2022"
Gibberish,"I bet some people will confuse it for a ""new"" Ford, but you're spot on with suggesting they won't sell many.Pricing is out of kilter especially considering the depreciation that'll hit.Overlooking the visuals and cost there is still something interesting there, the engine seems to shine through as one of it's highlights, it does sound pretty good","December 27, 2022"
Jon A,Agree with above but…Two things stand out for me. For “lively” read twitchy and the ride looks appalling. His seat is banging about all over the place and that was in “comfort mode” cos he says sport mode is too hard even for spirited driving!Massively over priced imho.,"December 27, 2022"
ghostwalker,"I agree,  Jon. The ride definitely looks way below par for an SUV on air springs, and that could be a major drawback for those in the market for these things.The G3 GTS for instance, if I’ve understood this correctly, has a no-cost option to delete the 10mm ride height reduction to improve the ride, which I already found to be good enough on G2 on 21” wheels. It wasn’t floaty but it wasn’t uncomfortable either.I’m also told that Jaguar have, as they usually do, nailed the ride on the F Pace SVR, which, besides being a lot cheaper, has that epic 5.0L V8 with the supercharger.Too many great choices and Maserati aren’t making a compelling enough case IMO.","December 27, 2022"
ghostwalker,"Agreed. And on engine sound, the bigger Levante, despite being as boring as anything in normal form, is almost worth the silly £130k price tag just for that Ferrari V8 in the Trofeo. Maserati just do things differently but, as you say, the depreciation isn’t for the faint-hearted.","December 27, 2022"
softsand,This one also includes a few autobahn high speed runs where it ran out of steam at 295km/h - a bit butt clenching with the traffic around...,"December 28, 2022"
pmg,"On the second video, the brakes come up for a fair amount of criticism. tester says apart from outright performance, Macan is better.","December 28, 2022"
wab172uk,"I actually quite like the look of them.But the price / power gaps are just bonkers. For the same price as a decent specced 380bhp Macan S, you only get a 2.0L 4 pot with 330bhp in the Grecale. The next power increase is 580bhp for £95,560.They would have been better copying the Macan range. Give the mid-level car 380-400bhp V6. There is still a substantial jump to the full bore Trofeo model.The Maserati prices make the Macan look a bargain in comparison. The Maserati badge just doesn't hold the same prestige it once did. And recent modern cars hadn't exactly got people pulses racing, and never win any kind of group tests. The reason why they maybe don't sell in great numbers is the pricing.","December 28, 2022"
Tracky,The Macan isn't a looker and nor is that !,"December 28, 2022"
